0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
B08301_001E,B08301_001EA,B08301_001M,B08301_001MA,B08301_002E,B08301_002EA,B08301_002M,B08301_002MA,B08301_003E,B08301_003EA,B08301_003M,B08301_003MA,B08301_004E,B08301_004EA,B08301_004M,B08301_004MA,B08301_005E,B08301_005EA,B08301_005M,B08301_005MA,B08301_006E,B08301_006EA,B08301_006M,B08301_006MA,B08301_007E,B08301_007EA,B08301_007M,B08301_007MA,B08301_008E,B08301_008EA,B08301_008M,B08301_008MA,B08301_009E,B08301_009EA,B08301_009M,B08301_009MA,B08301_010E,B08301_010EA,B08301_010M,B08301_010MA,B08301_011E,B08301_011EA,B08301_011M,B08301_011MA,B08301_012E,B08301_012EA,B08301_012M,B08301_012MA,B08301_013E,B08301_013EA,B08301_013M,B08301_013MA,B08301_014E,B08301_014EA,B08301_014M,B08301_014MA,B08301_015E,B08301_015EA,B08301_015M,B08301_015MA,B08301_016E,B08301_016EA,B08301_016M,B08301_016MA,B08301_017E,B08301_017EA,B08301_017M,B08301_017MA,B08301_018E,B08301_018EA,B08301_018M,B08301_018MA,B08301_019E,B08301_019EA,B08301_019M,B08301_019MA,B08301_020E,B08301_020EA,B08301_020M,B08301_020MA,B08301_021E,B08301_021EA,B08301_021M,B08301_021MA,GEO_ID,NAME
156941346,,161399,,133054328,,173377,,119153349,,145368,,13900979,,82351,,10469892,,70680,,1982471,,27654,,765777,,18263,,421798,,17110,,261041,,10441,,7778444,,42450,,3601403,,34897,,2935633,,29091,,921391,,17465,,242776,,8667,,77241,,5055,,385756,,13467,,221923,,7785,,805722,,19868,,4153050,,43355,,1571323,,27465,,8970800,,53611,,0100000US,United States
58419486,,93516,,51796974,,101685,,46446299,,92741,,5350675,,52340,,4015019,,45113,,776247,,22379,,303770,,12391,,163321,,10630,,92318,,5651,,1176676,,23780,,750862,,18904,,319520,,10567,,66711,,4617,,34644,,3653,,4939,,1217,,123972,,8097,,79023,,5414,,181081,,7982,,1051089,,20108,,664954,,18148,,3345717,,36848,,0200000US3,South Region
37391066,,63756,,31327268,,71872,,27617935,,67878,,3709333,,37972,,2759880,,34297,,553542,,14076,,203828,,9123,,119505,,6721,,72578,,6393,,1629639,,21521,,1094805,,18752,,245299,,10000,,129906,,7107,,126078,,5633,,33551,,3123,,85049,,6929,,99860,,5586,,331692,,11638,,1011935,,20616,,409948,,12762,,2495675,,29468,,0200000US4,West Region
27721059,,45429,,20533586,,57453,,18481219,,53622,,2052367,,31110,,1558427,,27393,,272237,,10293,,113386,,6803,,61727,,5973,,46590,,3864,,3972750,,31008,,1167579,,23303,,2148924,,20947,,561948,,13735,,58458,,5317,,35841,,3639,,116282,,7531,,16653,,2218,,152989,,7725,,1238153,,23454,,246884,,10417,,1443762,,21093,,0200000US1,Northeast Region
33409735,,56197,,29396500,,64816,,26607896,,68706,,2788604,,35796,,2136566,,31498,,380445,,11633,,144793,,6636,,77245,,6138,,49555,,4199,,999379,,18558,,588157,,13540,,221890,,8675,,162826,,7457,,23596,,2877,,2910,,842,,60453,,4956,,26387,,2160,,139960,,6440,,851873,,14953,,249537,,9575,,1685646,,23226,,0200000US2,Midwest Region
7686027,,23857,,6311756,,29839,,5719337,,31201,,592419,,16001,,464420,,13976,,74695,,5836,,28741,,4457,,12092,,2441,,12471,,1704,,492714,,12472,,166128,,8034,,190619,,8317,,124061,,6980,,7299,,1377,,4607,,965,,16668,,2357,,4361,,1034,,45742,,4381,,309699,,11190,,64822,,5034,,440265,,12907,,0300000US1,New England Division
20035032,,41409,,14221830,,48639,,12761882,,45881,,1459948,,24591,,1094007,,21706,,197542,,9633,,84645,,5392,,49635,,5030,,34119,,3326,,3480036,,29080,,1001451,,20584,,1958305,,19418,,437887,,11637,,51159,,5166,,31234,,3489,,99614,,7405,,12292,,2062,,107247,,6072,,928454,,20302,,182062,,8065,,1003497,,17240,,0300000US2,Middle Atlantic Division
22643032,,43678,,19812205,,57087,,17934982,,59896,,1877223,,26164,,1444739,,22957,,254283,,9309,,93370,,5567,,51062,,4618,,33769,,3029,,827672,,17251,,438636,,12892,,216843,,8375,,160089,,7340,,10283,,2028,,1821,,733,,48056,,4341,,15535,,1937,,97617,,5452,,576339,,12853,,172363,,7788,,1093245,,18794,,0300000US3,East North Central Division
10766703,,32339,,9584295,,33038,,8672914,,33692,,911381,,20024,,691827,,17340,,126162,,7055,,51423,,4234,,26183,,3213,,15786,,2543,,171707,,7289,,149521,,6831,,5047,,1451,,2737,,845,,13313,,1848,,1089,,471,,12397,,2137,,10852,,1488,,42343,,3427,,275534,,9168,,77174,,4904,,592401,,12901,,0300000US4,West North Central Division
