
84 variables
B08301_001E,Estimate!!Total,,predicate-only,,0,int,B08301
B08301_001EA,Annotation of Estimate!!Total,,predicate-only,,0,string,B08301
B08301_001M,Margin of Error!!Total,,predicate-only,,0,int,B08301
B08301_001MA,Annotation of Margin of Error!!Total,,predicate-only,,0,string,B08301
B08301_002E,Estimate!!Total!!Car, truck, or van,,predicate-only,,0,int,B08301
B08301_002EA,Annotation of Estimate!!Total!!Car, truck, or van,,predicate-only,,0,string,B08301
B08301_002M,Margin of Error!!Total!!Car, truck, or van,,predicate-only,,0,int,B08301
B08301_002MA,Annotation of Margin of Error!!Total!!Car, truck, or van,,predicate-only,,0,string,B08301
B08301_003E,Estimate!!Total!!Car, truck, or van!!Drove alone,,predicate-only,,0,int,B08301
B08301_003EA,Annotation of Estimate!!Total!!Car, truck, or van!!Drove alone,,predicate-only,,0,string,B08301
B08301_003M,Margin of Error!!Total!!Car, truck, or van!!Drove alone,,predicate-only,,0,int,B08301
B08301_003MA,Annotation of Margin of Error!!Total!!Car, truck, or van!!Drove alone,,predicate-only,,0,string,B08301
B08301_004E,Estimate!!Total!!Car, truck, or van!!Carpooled,,predicate-only,,0,int,B08301
B08301_004EA,Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled,,predicate-only,,0,string,B08301
B08301_004M,Margin of Error!!Total!!Car, truck, or van!!Carpooled,,predicate-only,,0,int,B08301
B08301_004MA,Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled,,predicate-only,,0,string,B08301
B08301_005E,Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool,,predicate-only,,0,int,B08301
B08301_005EA,Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool,,predicate-only,,0,string,B08301
B08301_005M,Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool,,predicate-only,,0,int,B08301
B08301_005MA,Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool,,predicate-only,,0,string,B08301
B08301_006E,Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool,,predicate-only,,0,int,B08301
B08301_006EA,Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool,,predicate-only,,0,string,B08301
B08301_006M,Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool,,predicate-only,,0,int,B08301
B08301_006MA,Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool,,predicate-only,,0,string,B08301
B08301_007E,Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool,,predicate-only,,0,int,B08301
B08301_007EA,Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool,,predicate-only,,0,string,B08301
B08301_007M,Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool,,predicate-only,,0,int,B08301
B08301_007MA,Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool,,predicate-only,,0,string,B08301
B08301_008E,Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool,,predicate-only,,0,int,B08301
B08301_008EA,Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool,,predicate-only,,0,string,B08301
B08301_008M,Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool,,predicate-only,,0,int,B08301
B08301_008MA,Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool,,predicate-only,,0,string,B08301
B08301_009E,Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool,,predicate-only,,0,int,B08301
B08301_009EA,Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool,,predicate-only,,0,string,B08301
B08301_009M,Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool,,predicate-only,,0,int,B08301
B08301_009MA,Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool,,predicate-only,,0,string,B08301
B08301_010E,Estimate!!Total!!Public transportation (excluding taxicab),,predicate-only,,0,int,B08301
B08301_010EA,Annotation of Estimate!!Total!!Public transportation (excluding taxicab),,predicate-only,,0,string,B08301
B08301_010M,Margin of Error!!Total!!Public transportation (excluding taxicab),,predicate-only,,0,int,B08301
B08301_010MA,Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab),,predicate-only,,0,string,B08301
B08301_011E,Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus,,predicate-only,,0,int,B08301
B08301_011EA,Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus,,predicate-only,,0,string,B08301
B08301_011M,Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus,,predicate-only,,0,int,B08301
B08301_011MA,Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus,,predicate-only,,0,string,B08301
B08301_012E,Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico),,predicate-only,,0,int,B08301
B08301_012EA,Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico),,predicate-only,,0,string,B08301
